run,cenario,N,tempo_ms,gflops,gpu_temp_c,timestamp,observacao
24,rtx5060ti_cublas_fp32,512,0.057408,4675.9241,40,2026-05-09T12:05:34.554519,ok
25,rtx5060ti_cublas_fp32,512,0.056960,4712.7010,40,2026-05-09T12:05:34.554601,ok
26,rtx5060ti_cublas_fp32,512,0.028288,9489.3758,40,2026-05-09T12:05:34.573225,ok
27,rtx5060ti_cublas_fp32,512,0.061760,4346.4290,40,2026-05-09T12:05:34.573317,ok
28,rtx5060ti_cublas_fp32,512,0.058368,4599.0175,40,2026-05-09T12:05:34.573401,ok
29,rtx5060ti_cublas_fp32,512,0.057056,4704.7718,40,2026-05-09T12:05:34.573483,ok
30,rtx5060ti_cublas_fp32,512,0.057440,4673.3191,40,2026-05-09T12:05:34.573565,ok
1,rtx5060ti_cublas_fp32,1024,0.208288,10310.1651,40,2026-05-09T12:05:34.631854,ok
2,rtx5060ti_cublas_fp32,1024,0.192608,11149.5040,40,2026-05-09T12:05:34.632083,ok
3,rtx5060ti_cublas_fp32,1024,0.185856,11554.5565,40,2026-05-09T12:05:34.632296,ok
4,rtx5060ti_cublas_fp32,1024,0.182816,11746.6943,40,2026-05-09T12:05:34.632506,ok
5,rtx5060ti_cublas_fp32,1024,0.156128,13754.6346,40,2026-05-09T12:05:34.633143,ok
6,rtx5060ti_cublas_fp32,1024,0.159264,13483.7984,40,2026-05-09T12:05:34.652032,ok
7,rtx5060ti_cublas_fp32,1024,0.189536,11330.2148,40,2026-05-09T12:05:34.652261,ok
8,rtx5060ti_cublas_fp32,1024,0.204160,10518.6305,40,2026-05-09T12:05:34.652501,ok
9,rtx5060ti_cublas_fp32,1024,0.189600,11326.3902,40,2026-05-09T12:05:34.652718,ok
10,rtx5060ti_cublas_fp32,1024,0.183392,11709.7998,40,2026-05-09T12:05:34.652926,ok
11,rtx5060ti_cublas_fp32,1024,0.158304,13565.5673,40,2026-05-09T12:05:34.672022,ok
12,rtx5060ti_cublas_fp32,1024,0.191008,11242.8989,40,2026-05-09T12:05:34.672244,ok
13,rtx5060ti_cublas_fp32,1024,0.186816,11495.1801,40,2026-05-09T12:05:34.672456,ok
14,rtx5060ti_cublas_fp32,1024,0.179712,11949.5842,40,2026-05-09T12:05:34.672656,ok
15,rtx5060ti_cublas_fp32,1024,0.156736,13701.2788,40,2026-05-09T12:05:34.673303,ok
16,rtx5060ti_cublas_fp32,1024,0.159136,13494.6441,40,2026-05-09T12:05:34.692974,ok
17,rtx5060ti_cublas_fp32,1024,0.189536,11330.2148,40,2026-05-09T12:05:34.693194,ok
18,rtx5060ti_cublas_fp32,1024,0.185504,11576.4814,40,2026-05-09T12:05:34.693405,ok
19,rtx5060ti_cublas_fp32,1024,0.179520,11962.3646,40,2026-05-09T12:05:34.693605,ok
20,rtx5060ti_cublas_fp32,1024,0.157728,13615.1072,40,2026-05-09T12:05:34.694246,ok
21,rtx5060ti_cublas_fp32,1024,0.196320,10938.6903,40,2026-05-09T12:05:34.713387,ok
22,rtx5060ti_cublas_fp32,1024,0.189792,11314.9320,40,2026-05-09T12:05:34.713607,ok
23,rtx5060ti_cublas_fp32,1024,0.178816,12009.4599,40,2026-05-09T12:05:34.713807,ok
24,rtx5060ti_cublas_fp32,1024,0.177952,12067.7687,40,2026-05-09T12:05:34.714015,ok
25,rtx5060ti_cublas_fp32,1024,0.157984,13593.0449,40,2026-05-09T12:05:34.714679,ok
26,rtx5060ti_cublas_fp32,1024,0.157088,13670.5776,41,2026-05-09T12:05:34.733792,ok
27,rtx5060ti_cublas_fp32,1024,0.182848,11744.6380,41,2026-05-09T12:05:34.734004,ok
28,rtx5060ti_cublas_fp32,1024,0.178016,12063.4301,41,2026-05-09T12:05:34.734208,ok
29,rtx5060ti_cublas_fp32,1024,0.181152,11854.5952,41,2026-05-09T12:05:34.734415,ok
30,rtx5060ti_cublas_fp32,1024,0.178080,12059.0946,41,2026-05-09T12:05:34.734616,ok
1,rtx5060ti_cublas_fp32,2048,1.112096,15448.1897,41,2026-05-09T12:05:34.799354,ok
2,rtx5060ti_cublas_fp32,2048,1.091424,15740.7839,41,2026-05-09T12:05:34.800475,ok
3,rtx5060ti_cublas_fp32,2048,1.067872,16087.9473,41,2026-05-09T12:05:34.802208,ok
4,rtx5060ti_cublas_fp32,2048,1.068128,16084.0923,41,2026-05-09T12:05:34.803819,ok
5,rtx5060ti_cublas_fp32,2048,1.085184,15831.2964,41,2026-05-09T12:05:34.804930,ok
6,rtx5060ti_cublas_fp32,2048,1.108288,15501.2672,41,2026-05-09T12:05:34.825298,ok
7,rtx5060ti_cublas_fp32,2048,1.091808,15735.2481,41,2026-05-09T12:05:34.826423,ok
8,rtx5060ti_cublas_fp32,2048,1.089280,15771.7658,41,2026-05-09T12:05:34.827541,ok
9,rtx5060ti_cublas_fp32,2048,1.084192,15845.7806,41,2026-05-09T12:05:34.828652,ok
10,rtx5060ti_cublas_fp32,2048,1.082112,15876.2401,41,2026-05-09T12:05:34.829759,ok
11,rtx5060ti_cublas_fp32,2048,1.068032,16085.5375,42,2026-05-09T12:05:34.849720,ok
12,rtx5060ti_cublas_fp32,2048,1.092672,15722.8055,42,2026-05-09T12:05:34.850841,ok
13,rtx5060ti_cublas_fp32,2048,1.087872,15792.1784,42,2026-05-09T12:05:34.851952,ok
14,rtx5060ti_cublas_fp32,2048,1.084032,15848.1191,42,2026-05-09T12:05:34.853059,ok
